LogText,Label
Cache eviction storm detected [ID:9803],resource_exhaustion
Malformed API request received [ID:6140],api_error
GET /api/v2/status received [ID:4182],api_request
Query failed: timeout [ID:6237],database_error
API responded with 503 Service Unavailable [ID:9257],api_error
Service timeout: upstream did not respond [ID:4690],service_timeout
MFA challenge passed [ID:3713],authentication_success
Request stalled in queue [ID:5289],service_timeout
Security alert: unauthorized access detected [ID:3918],security_alert
Request timed out after 30000ms [ID:9772],service_timeout
Incorrect permission on config file [ID:8164],configuration_error
Failed to delete temporary file [ID:6233],filesystem_error
Untrusted binary execution prevented [ID:7787],security_alert
Successfully authenticated user 'service_account' [ID:4831],authentication_success
Integrity failure: foreign key constraint [ID:6214],database_error
POST /api/login initiated [ID:9953],api_request
Permission denied: /var/log/syslog [ID:9804],filesystem_error
Too many open files [ID:7985],resource_exhaustion
Incoming request GET /index.html [ID:9932],api_request
Out of memory: Kill process 1234 (java) [ID:4645],resource_exhaustion
POST /api/login initiated [ID:6502],api_request
Incoming request from 10.0.0.1 [ID:9533],api_request
GET /api/v1/users returned error 500 [ID:9748],api_error
Accepted password for user 'jdoe' [ID:6460],authentication_success
Gateway unreachable [ID:5323],network_error
Successful authentication for user 'admin' [ID:7439],authentication_success
Missing environment variable 'API_KEY' [ID:1110],configuration_error
API timeout while waiting for upstream [ID:7787],api_error
GET /api/v2/status received [ID:1486],api_request
File not found: /etc/config.json [ID:6593],filesystem_error
Accepted password for user 'jdoe' [ID:3361],authentication_success
Invalid configuration value for 'timeout' [ID:1408],configuration_error
Security alert: unauthorized access detected [ID:5489],security_alert
Database unreachable: timeout [ID:6358],database_error
SSO login denied for token 12345 [ID:2183],authentication_failure
Error parsing config: unexpected token [ID:3506],configuration_error
Incoming request from 10.0.0.1 [ID:9337],api_request
Packet loss exceeded 5% [ID:3854],network_error
Untrusted binary execution prevented [ID:3448],security_alert
Token invalid: signature mismatch [ID:6134],authentication_failure
Gateway unreachable [ID:9551],network_error
System load exceeded threshold [ID:5690],resource_exhaustion
Query failed: timeout [ID:3162],database_error
Login succeeded [ID:9568],authentication_success
Privilege escalation attempt blocked [ID:1159],security_alert
Gateway returned 502 Bad Gateway [ID:7024],api_error
POST /api/login initiated [ID:5216],api_request
Transaction deadlock detected [ID:5531],database_error
No space left on device [ID:2691],filesystem_error
CPU starvation detected [ID:1625],resource_exhaustion
Insufficient memory to spawn new thread [ID:5168],resource_exhaustion
Intrusion attempt detected [ID:9577],security_alert
Route unavailable to 10.0.0.0/24 [ID:4052],network_error
Operation timed out [ID:8499],service_timeout
Filesystem error: read-only file system [ID:9056],filesystem_error
Data breach alert: sensitive data access [ID:3976],security_alert
Integrity failure: foreign key constraint [ID:2719],database_error
Token invalid: signature mismatch [ID:1673],authentication_failure
GET /api/v1/users returned error 500 [ID:5918],api_error
Incorrect permission on config file [ID:1287],configuration_error
DELETE /api/item/55 processed [ID:7767],api_request
OPTIONS /api/cors check executed [ID:1178],api_request
Database unreachable: timeout [ID:8603],database_error
Multiple failed login attempts from single IP [ID:4555],security_alert
Invalid configuration value for 'timeout' [ID:5668],configuration_error
Filesystem error: read-only file system [ID:7232],filesystem_error
System load exceeded threshold [ID:2312],resource_exhaustion
Untrusted binary execution prevented [ID:8754],security_alert
POST /api/orders crashed [ID:1114],api_error
SQL error: syntax error near 'FROM' [ID:5562],database_error
Directory /tmp/cache not accessible [ID:9173],filesystem_error
Error parsing config: unexpected token [ID:4351],configuration_error
Anomalous login from unusual location [ID:1287],security_alert
Malware detected in file upload [ID:1526],security_alert
User 'guest' blocked after failed login attempts [ID:1435],authentication_failure
Duplicate key value violates unique constraint [ID:7392],database_error
Malformed JSON in config file [ID:9959],configuration_error
PATCH /api/settings initiated [ID:4684],api_request
High network latency detected [ID:5105],network_error
GET /api/v2/status received [ID:3453],api_request
Filesystem error: read-only file system [ID:6152],filesystem_error
Intrusion attempt detected [ID:3495],security_alert
Connection timed out [ID:4776],service_timeout
Kerberos authentication failed [ID:4416],authentication_failure
Connection timed out [ID:7775],service_timeout
Relation 'users' does not exist [ID:6696],database_error
File not found: /etc/config.json [ID:5467],filesystem_error
MFA verification failed [ID:6527],authentication_failure
Unknown configuration key 'feature_x' [ID:6051],configuration_error
Token validated successfully [ID:3521],authentication_success
Timeout contacting auth service [ID:2014],service_timeout
Connection refused by host [ID:8972],network_error
Intrusion attempt detected [ID:4136],security_alert
Malformed API request received [ID:8203],api_error
Filesystem error: read-only file system [ID:9120],filesystem_error
Certificate validation fail for site example.com [ID:6402],security_alert
Accepted password for user 'jdoe' [ID:1038],authentication_success
POST /api/login initiated [ID:7062],api_request
Insufficient memory to spawn new thread [ID:8391],resource_exhaustion
Operation timed out [ID:3002],service_timeout
POST /api/orders crashed [ID:8824],api_error
Malformed JSON in config file [ID:3731],configuration_error
SSO login denied for token 12345 [ID:3662],authentication_failure
MFA verification failed [ID:3280],authentication_failure
Network unreachable [ID:5479],network_error
Security alert: unauthorized access detected [ID:8761],security_alert
DELETE /api/item/55 processed [ID:2442],api_request
HEAD /health started [ID:7595],api_request
Anomalous login from unusual location [ID:9312],security_alert
Error parsing config: unexpected token [ID:7311],configuration_error
Session established for user 'root' [ID:6819],authentication_success
Out of memory: Kill process 1234 (java) [ID:6216],resource_exhaustion
SQL error: syntax error near 'FROM' [ID:5106],database_error
Database unreachable: timeout [ID:4963],database_error
Cache eviction storm detected [ID:2396],resource_exhaustion
API error: internal server error [ID:9782],api_error
MFA challenge passed [ID:8398],authentication_success
Duplicate key value violates unique constraint [ID:3402],database_error
Password attempt failed [ID:3150],authentication_failure
Configuration error: missing parameter 'db_host' [ID:9266],configuration_error
MFA challenge passed [ID:9796],authentication_success
Authentication failed: invalid password [ID:3045],authentication_failure
OPTIONS /api/cors check executed [ID:5977],api_request
POST /api/orders crashed [ID:7762],api_error
System load exceeded threshold [ID:8681],resource_exhaustion
Error parsing config: unexpected token [ID:7845],configuration_error
Kerberos authentication failed [ID:9749],authentication_failure
Timed out waiting for lock [ID:2695],service_timeout
Multiple failed login attempts from single IP [ID:5546],security_alert
Operation timed out [ID:1849],service_timeout
POST /api/login initiated [ID:7679],api_request
Service timeout: upstream did not respond [ID:4978],service_timeout
Access denied for user 'test' [ID:4231],authentication_failure
YAML syntax error at line 10 [ID:8735],configuration_error
Error parsing config: unexpected token [ID:3619],configuration_error
Invalid configuration value for 'timeout' [ID:3237],configuration_error
SSO login denied for token 12345 [ID:7637],authentication_failure
No space left on device [ID:2792],filesystem_error
Token invalid: signature mismatch [ID:4272],authentication_failure
HEAD /health started [ID:4044],api_request
Thread pool exhausted [ID:1036],resource_exhaustion
Query failed: timeout [ID:9379],database_error
API error: internal server error [ID:6868],api_error
Packet loss exceeded 5% [ID:5214],network_error
Route unavailable to 10.0.0.0/24 [ID:8530],network_error
TCP connection reset by peer [ID:3694],network_error
MFA verification failed [ID:8484],authentication_failure
DELETE /api/item/55 processed [ID:6322],api_request
Untrusted binary execution prevented [ID:7704],security_alert
Port scan detected from 192.168.1.50 [ID:1500],security_alert
Operation timed out [ID:1280],service_timeout
High network latency detected [ID:4810],network_error
Invalid configuration value for 'timeout' [ID:3095],configuration_error
Successfully authenticated user 'service_account' [ID:5299],authentication_success
Timed out waiting for lock [ID:7333],service_timeout
Accepted password for user 'jdoe' [ID:1379],authentication_success
MongoDB connection refused [ID:3202],database_error
Database connection refused [ID:2664],database_error
POST /api/login initiated [ID:9535],api_request
POST /api/login initiated [ID:8359],api_request
Port scan detected from 192.168.1.50 [ID:6373],security_alert
Error parsing config: unexpected token [ID:8585],configuration_error
Permission denied: /var/log/syslog [ID:7971],filesystem_error
Kerberos authentication failed [ID:5241],authentication_failure
Invalid configuration value for 'timeout' [ID:9414],configuration_error
POST /webhook processed [ID:1775],api_request
High network latency detected [ID:2292],network_error
User 'guest' blocked after failed login attempts [ID:8910],authentication_failure
Service timeout: upstream did not respond [ID:7200],service_timeout
Malformed JSON in config file [ID:3862],configuration_error
Data breach alert: sensitive data access [ID:6795],security_alert
Incoming request from 10.0.0.1 [ID:1466],api_request
Authentication succeeded [ID:7893],authentication_success
Service timeout: upstream did not respond [ID:5824],service_timeout
TCP connection reset by peer [ID:3790],network_error
Invalid XML structure [ID:5104],configuration_error
Packet loss exceeded 5% [ID:3621],network_error
Exceeded timeout limit [ID:6127],service_timeout
MFA challenge passed [ID:5096],authentication_success
Unknown configuration key 'feature_x' [ID:5422],configuration_error
PATCH /api/settings initiated [ID:5061],api_request
CPU starvation detected [ID:3422],resource_exhaustion
Token successfully verified [ID:4700],authentication_success
Incoming request from 10.0.0.1 [ID:5514],api_request
System load exceeded threshold [ID:9180],resource_exhaustion
Invalid credential provided for user 'jdoe' [ID:1073],authentication_failure
Duplicate key value violates unique constraint [ID:9444],database_error
Kerberos authentication failed [ID:7751],authentication_failure
Data breach alert: sensitive data access [ID:4341],security_alert
Integrity failure: foreign key constraint [ID:9150],database_error
SSL handshake failed [ID:8061],network_error
MFA challenge passed [ID:2018],authentication_success
SQL error: syntax error near 'FROM' [ID:2103],database_error
Invalid credential provided for user 'jdoe' [ID:1009],authentication_failure
Relation 'users' does not exist [ID:3351],database_error
Postgres connection failed [ID:2793],database_error
OOM-killed process apache2 [ID:4213],resource_exhaustion
Data breach alert: sensitive data access [ID:4910],security_alert
Request stalled in queue [ID:2806],service_timeout
File corruption detected [ID:6633],filesystem_error
Exceeded timeout limit [ID:4082],service_timeout
TLS handshake error [ID:2867],network_error
Request timed out after 30000ms [ID:8386],service_timeout
Database unreachable: timeout [ID:4015],database_error
Thread pool exhausted [ID:9240],resource_exhaustion
Cache eviction storm detected [ID:2579],resource_exhaustion
OOM-killed process apache2 [ID:1104],resource_exhaustion
Malformed API request received [ID:8607],api_error
Multiple failed login attempts from single IP [ID:9272],security_alert
TLS handshake error [ID:7186],network_error
Authentication succeeded [ID:6216],authentication_success
No space left on device [ID:2967],filesystem_error
Successfully authenticated user 'service_account' [ID:2576],authentication_success
API responded with 409 Conflict [ID:5128],api_error
Malformed API request received [ID:9975],api_error
SQL error: syntax error near 'FROM' [ID:5094],database_error
Connection timed out [ID:1205],service_timeout
Exceeded timeout limit [ID:1632],service_timeout
Login succeeded from 10.0.0.5 [ID:7905],authentication_success
High network latency detected [ID:5569],network_error
Invalid configuration value for 'timeout' [ID:5996],configuration_error
Malformed API request received [ID:6675],api_error
Request timed out after 30000ms [ID:5484],service_timeout
GET /api/v1/users returned error 500 [ID:1225],api_error
SSL handshake failed [ID:8523],network_error
Token validated successfully [ID:3715],authentication_success
Database connection refused [ID:5899],database_error
Error parsing config: unexpected token [ID:7097],configuration_error
POST /api/login initiated [ID:7261],api_request
Incoming request GET /index.html [ID:1141],api_request
Thread pool exhausted [ID:4458],resource_exhaustion
Thread pool exhausted [ID:6063],resource_exhaustion
Incorrect permission on config file [ID:9237],configuration_error
Invalid configuration value for 'timeout' [ID:4596],configuration_error
SSO login denied for token 12345 [ID:3308],authentication_failure
OOM-killed process apache2 [ID:5681],resource_exhaustion
DNS resolution failed for host 'db-primary' [ID:6238],network_error
Too many open files [ID:5996],resource_exhaustion
Query failed: timeout [ID:3045],database_error
File corruption detected [ID:2063],filesystem_error
Disk quota exceeded [ID:7810],filesystem_error
Login succeeded [ID:1811],authentication_success
Failed to delete temporary file [ID:1721],filesystem_error
Too many open files [ID:8731],resource_exhaustion
Failed login attempt for user 'admin' from 192.168.1.10 [ID:3847],authentication_failure
Incoming request GET /index.html [ID:2447],api_request
Authentication failed: invalid password [ID:2673],authentication_failure
Integrity failure: foreign key constraint [ID:3366],database_error
API responded with 409 Conflict [ID:9121],api_error
PUT /api/items failed [ID:4619],api_error
Successful authentication for user 'admin' [ID:5528],authentication_success
Relation 'users' does not exist [ID:4562],database_error
Error parsing config: unexpected token [ID:7074],configuration_error
Malformed JSON in config file [ID:7372],configuration_error
Unable to write to log file [ID:1555],filesystem_error
Login succeeded [ID:1555],authentication_success
Packet loss exceeded 5% [ID:7728],network_error
Security alert: unauthorized access detected [ID:4482],security_alert
Directory /tmp/cache not accessible [ID:5550],filesystem_error
System load exceeded threshold [ID:8829],resource_exhaustion
Insufficient memory to spawn new thread [ID:8123],resource_exhaustion
Failed to delete temporary file [ID:1614],filesystem_error
Failed to delete temporary file [ID:9971],filesystem_error
Filesystem error: read-only file system [ID:2133],filesystem_error
Token invalid: signature mismatch [ID:3967],authentication_failure
Login succeeded from 10.0.0.5 [ID:5417],authentication_success
Request stalled in queue [ID:8654],service_timeout
Unsupported configuration version [ID:8905],configuration_error
Connection timed out [ID:6234],service_timeout
Incoming request GET /index.html [ID:8174],api_request
CPU starvation detected [ID:6324],resource_exhaustion
Kerberos authentication failed [ID:2459],authentication_failure
Database connection refused [ID:2575],database_error
Token successfully verified [ID:6731],authentication_success
Token validated successfully [ID:5982],authentication_success
Access denied for user 'test' [ID:9106],authentication_failure
Cache eviction storm detected [ID:3601],resource_exhaustion
Login succeeded from 10.0.0.5 [ID:5814],authentication_success
Authentication succeeded [ID:4885],authentication_success
API responded with 503 Service Unavailable [ID:4075],api_error
PUT /api/user/123 received [ID:4676],api_request
Certificate validation fail for site example.com [ID:3430],security_alert
Unexpected API exception: null pointer [ID:8120],api_error
Security alert: unauthorized access detected [ID:7897],security_alert
MongoDB connection refused [ID:4317],database_error
Exceeded timeout limit [ID:3740],service_timeout
Authentication succeeded [ID:2196],authentication_success
Database unreachable: timeout [ID:3567],database_error
Access denied for user 'test' [ID:6599],authentication_failure
Timed out waiting for lock [ID:5712],service_timeout
Incoming request GET /index.html [ID:9862],api_request
PUT /api/user/123 received [ID:3092],api_request
HEAD /health started [ID:9730],api_request
Failed to delete temporary file [ID:9892],filesystem_error
Packet loss exceeded 5% [ID:5898],network_error
Malformed JSON in config file [ID:7878],configuration_error
Relation 'users' does not exist [ID:6527],database_error
File not found: /etc/config.json [ID:7943],filesystem_error
Too many open files [ID:8586],resource_exhaustion
Permission denied: /var/log/syslog [ID:4924],filesystem_error
SSL handshake failed [ID:1625],network_error
Incoming request GET /index.html [ID:8674],api_request
Disk quota exceeded for user 'app' [ID:9554],resource_exhaustion
Memory allocation failure [ID:6343],resource_exhaustion
Postgres connection failed [ID:9380],database_error
Unknown configuration key 'feature_x' [ID:3372],configuration_error
Disk quota exceeded for user 'app' [ID:9804],resource_exhaustion
Request timed out after 30000ms [ID:5380],service_timeout
CPU starvation detected [ID:8302],resource_exhaustion
GET /api/v1/users returned error 500 [ID:6732],api_error
Authentication failed: invalid password [ID:1192],authentication_failure
Gateway unreachable [ID:7732],network_error
Access denied for user 'test' [ID:6486],authentication_failure
Certificate validation fail for site example.com [ID:7403],security_alert
TLS handshake error [ID:2035],network_error
SSO login denied for token 12345 [ID:1823],authentication_failure
GET /api/v1/users returned error 500 [ID:8817],api_error
Unsupported configuration version [ID:4744],configuration_error
Incorrect permission on config file [ID:6102],configuration_error
Network unreachable [ID:1264],network_error
Database unreachable: timeout [ID:3488],database_error
Successful authentication for user 'admin' [ID:8365],authentication_success
Error parsing config: unexpected token [ID:2327],configuration_error
Multiple failed login attempts from single IP [ID:8421],security_alert
Exceeded timeout limit [ID:7712],service_timeout
Login succeeded from 10.0.0.5 [ID:3308],authentication_success
HEAD /health started [ID:5038],api_request
CPU starvation detected [ID:9115],resource_exhaustion
Disk quota exceeded for user 'app' [ID:4388],resource_exhaustion
Unexpected API exception: null pointer [ID:1636],api_error
File corruption detected [ID:6664],filesystem_error
Gateway returned 502 Bad Gateway [ID:3914],api_error
POST /api/orders crashed [ID:2931],api_error
Port scan detected from 192.168.1.50 [ID:6686],security_alert
Exceeded timeout limit [ID:9030],service_timeout
Token validated successfully [ID:4889],authentication_success
Blocked by firewall: inbound connection from blacklisted IP [ID:9815],security_alert
File corruption detected [ID:7085],filesystem_error
SSO login denied for token 12345 [ID:3026],authentication_failure
API error: internal server error [ID:4160],api_error
Intrusion attempt detected [ID:4038],security_alert
GET /api/v1/users returned error 500 [ID:3214],api_error
Untrusted binary execution prevented [ID:9268],security_alert
Unsupported configuration version [ID:9708],configuration_error
Disk quota exceeded for user 'app' [ID:7291],resource_exhaustion
POST /api/orders crashed [ID:2065],api_error
No space left on device [ID:1367],filesystem_error
Successfully authenticated user 'service_account' [ID:6588],authentication_success
Error parsing config: unexpected token [ID:5148],configuration_error
Successfully authenticated user 'service_account' [ID:1475],authentication_success
Unable to write to log file [ID:4926],filesystem_error
Route unavailable to 10.0.0.0/24 [ID:3170],network_error
Database unreachable: timeout [ID:8220],database_error
Multiple failed login attempts from single IP [ID:9272],security_alert
Network unreachable [ID:8665],network_error
Query failed: timeout [ID:6364],database_error
Configuration error: missing parameter 'db_host' [ID:1500],configuration_error
Cache eviction storm detected [ID:1133],resource_exhaustion
Unexpected API exception: null pointer [ID:5570],api_error
Timed out waiting for lock [ID:2118],service_timeout
Gateway unreachable [ID:4575],network_error
Authentication failed: invalid password [ID:7818],authentication_failure
GET /api/v2/status received [ID:9789],api_request
Unable to write to log file [ID:8853],filesystem_error
GET /api/v2/status received [ID:6170],api_request
Symbolic link loop detected [ID:6869],filesystem_error
Token validated successfully [ID:3688],authentication_success
OPTIONS /api/cors check executed [ID:3310],api_request
High network latency detected [ID:8316],network_error
Security alert: unauthorized access detected [ID:4395],security_alert
PATCH /api/settings initiated [ID:2283],api_request
Timed out waiting for lock [ID:5093],service_timeout
Health probe timed out [ID:1069],service_timeout
Health probe timed out [ID:8866],service_timeout
GET /api/v1/users returned error 500 [ID:7939],api_error
POST /api/orders crashed [ID:5344],api_error
Token successfully verified [ID:6085],authentication_success
Timed out waiting for lock [ID:3373],service_timeout
File not found: /etc/config.json [ID:8619],filesystem_error
Thread pool exhausted [ID:7140],resource_exhaustion
API responded with 409 Conflict [ID:1319],api_error
Query failed: timeout [ID:4708],database_error
TCP connection reset by peer [ID:7912],network_error
Disk quota exceeded for user 'app' [ID:7634],resource_exhaustion
Operation timed out [ID:6043],service_timeout
Symbolic link loop detected [ID:2197],filesystem_error
